更新时间: 2026-05-01 00:52:07（北京时间）

更新时间,#genre#
2026-05-01 00:52:07,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

深圳卫视,http://123.60.75.150:540/rtp/239.45.3.231:5140$上海市电信_result_ip
深圳卫视,http://123.60.75.150:540/rtp/233.18.204.89:5140$上海市电信_result_ip
深圳卫视,http://123.60.75.150:540/rtp/233.18.204.219:5140$上海市电信_result_ip
北京卫视,http://123.60.75.150:540/rtp/239.45.3.229:5140$上海市电信_result_ip
北京卫视,http://123.60.75.150:540/rtp/233.18.204.87:5140$上海市电信_result_ip
北京卫视,http://123.60.75.150:540/rtp/239.45.3.123:5140$上海市电信_result_ip
北京卫视,http://123.60.75.150:540/rtp/233.18.204.209:5140$上海市电信_result_ip
广东卫视,http://123.60.75.150:540/rtp/239.45.3.230:5140$上海市电信_result_ip
广东卫视,http://123.60.75.150:540/rtp/233.18.204.88:5140$上海市电信_result_ip
广东卫视,http://123.60.75.150:540/rtp/233.18.204.218:5140$上海市电信_result_ip
广西卫视,http://123.60.75.150:540/rtp/239.45.0.5:5140$上海市电信_result_ip
广西卫视,http://123.60.75.150:540/rtp/233.18.204.107:5140$上海市电信_result_ip
东南卫视,http://123.60.75.150:540/rtp/239.45.1.121:5140$上海市电信_result_ip
东南卫视,http://123.60.75.150:540/rtp/233.18.204.94:5140$上海市电信_result_ip
海南卫视,http://123.60.75.150:540/rtp/233.18.204.102:5140$上海市电信_result_ip
海南卫视,http://123.60.75.150:540/rtp/239.45.1.81:5140$上海市电信_result_ip
河北卫视,http://123.60.75.150:540/rtp/239.45.1.44:5140$上海市电信_result_ip
河北卫视,http://123.60.75.150:540/rtp/233.18.204.103:5140$上海市电信_result_ip
河南卫视,http://123.60.75.150:540/rtp/239.45.0.3:5140$上海市电信_result_ip
河南卫视,http://123.60.75.150:540/rtp/233.18.204.105:5140$上海市电信_result_ip
湖北卫视,http://123.60.75.150:540/rtp/239.45.3.239:5140$上海市电信_result_ip
湖北卫视,http://123.60.75.150:540/rtp/233.18.204.92:5140$上海市电信_result_ip
江西卫视,http://123.60.75.150:540/rtp/239.45.1.122:5140$上海市电信_result_ip
江西卫视,http://123.60.75.150:540/rtp/233.18.204.95:5140$上海市电信_result_ip
四川卫视,http://123.60.75.150:540/rtp/239.45.1.23:5140$上海市电信_result_ip
四川卫视,http://123.60.75.150:540/rtp/239.45.1.83:5140$上海市电信_result_ip
四川卫视,http://123.60.75.150:540/rtp/233.18.204.99:5140$上海市电信_result_ip
四川卫视,http://123.60.75.150:540/rtp/239.45.3.48:5140$上海市电信_result_ip
重庆卫视,http://123.60.75.150:540/rtp/239.45.1.84:5140$上海市电信_result_ip
重庆卫视,http://123.60.75.150:540/rtp/233.18.204.100:5140$上海市电信_result_ip
贵州卫视,http://123.60.75.150:540/rtp/239.45.1.80:5140$上海市电信_result_ip
贵州卫视,http://123.60.75.150:540/rtp/233.18.204.101:5140$上海市电信_result_ip
云南卫视,http://123.60.75.150:540/rtp/239.45.3.206:5140$上海市电信_result_ip
云南卫视,http://123.60.75.150:540/rtp/239.45.0.4:5140$上海市电信_result_ip
云南卫视,http://123.60.75.150:540/rtp/233.18.204.106:5140$上海市电信_result_ip
天津卫视,http://123.60.75.150:540/rtp/239.45.1.124:5140$上海市电信_result_ip
天津卫视,http://123.60.75.150:540/rtp/233.18.204.97:5140$上海市电信_result_ip
安徽卫视,http://123.60.75.150:540/rtp/239.45.3.143:5140$上海市电信_result_ip
安徽卫视,http://123.60.75.150:540/rtp/239.45.1.120:5140$上海市电信_result_ip
安徽卫视,http://123.60.75.150:540/rtp/233.18.204.93:5140$上海市电信_result_ip
山东卫视,http://123.60.75.150:540/rtp/239.45.3.238:5140$上海市电信_result_ip
山东卫视,http://123.60.75.150:540/rtp/233.18.204.91:5140$上海市电信_result_ip
山东卫视,http://123.60.75.150:540/rtp/239.45.3.180:5140$上海市电信_result_ip
辽宁卫视,http://123.60.75.150:540/rtp/239.45.1.123:5140$上海市电信_result_ip
辽宁卫视,http://123.60.75.150:540/rtp/233.18.204.96:5140$上海市电信_result_ip
黑龙江卫视,http://123.60.75.150:540/rtp/239.45.3.232:5140$上海市电信_result_ip
黑龙江卫视,http://123.60.75.150:540/rtp/233.18.204.90:5140$上海市电信_result_ip
吉林卫视,http://123.60.75.150:540/rtp/239.45.0.6:5140$上海市电信_result_ip
吉林卫视,http://123.60.75.150:540/rtp/239.45.3.248:5140$上海市电信_result_ip
吉林卫视,http://123.60.75.150:540/rtp/233.18.204.108:5140$上海市电信_result_ip
内蒙古卫视,http://123.60.75.150:540/rtp/233.18.204.217:5140$上海市电信_result_ip
山西卫视,http://123.60.75.150:540/rtp/239.45.3.205:5140$上海市电信_result_ip
山西卫视,http://123.60.75.150:540/rtp/239.45.0.57:5140$上海市电信_result_ip
陕西卫视,http://123.60.75.150:540/rtp/233.18.204.211:5140$上海市电信_result_ip
陕西卫视,http://123.60.75.150:540/rtp/233.18.204.223:5140$上海市电信_result_ip
甘肃卫视,http://123.60.75.150:540/rtp/239.45.0.15:5140$上海市电信_result_ip
甘肃卫视,http://123.60.75.150:540/rtp/233.18.204.110:5140$上海市电信_result_ip
青海卫视,http://123.60.75.150:540/rtp/239.45.0.37:5140$上海市电信_result_ip
青海卫视,http://123.60.75.150:540/rtp/233.18.204.112:5140$上海市电信_result_ip
新疆卫视,http://123.60.75.150:540/rtp/233.18.204.220:5140$上海市电信_result_ip
